api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507323395,36.1078023,-98.0857286,KINGFISHER,WILMA 1,1,QUANTUM RESOURCES CORP,OIL-P & A,P & A,OIL
3507323368,35.8105866,-98.0905993,KINGFISHER,MATTI 1-6,1-6,HG&G INC,OIL-P & A,P & A,OIL
3507323360,35.8569189,-98.0319277,KINGFISHER,VIRGINIA 1,1,DLB ENERGY,GAS-P & A,P & A,GAS
3507321427,36.0677109,-97.9688035,KINGFISHER,ROTTGER 2,2,APA CORP,OIL-P & A,P & A,OIL
3507321426,35.9145587,-97.843096,KINGFISHER,COPELAND 1,1,SENSOR OIL & GAS INC.,DRY HOLE-P & A,P & A,DRY HOLE
3507321403,36.0507056,-97.919806,KINGFISHER,MOERY-BARTON 1,1,EXXON,DRY HOLE-P & A,P & A,DRY HOLE
3507321401,36.1483632,-98.1693274,KINGFISHER,LOIS HODGES 2,2,JONES & PELLOW OIL CO,OIL-P & A,P & A,OIL
3507321396,36.1572743,-98.1513595,KINGFISHER,ROBINSON 1,1,MIDCON CENTRAL EXPL CO,GAS-P & A,P & A,GAS
3507321394,35.8874677,-97.8233654,KINGFISHER,SCHROEDER 1,1,BECK PUMP & SUPPLY,SWD-P & A,P & A,SWD
3507321390,36.1006936,-97.6926348,KINGFISHER,LOIS /25/ 1,1,CONTINENTAL RESOURCES,OIL-P & A,P & A,OIL
3507320044,36.14054,-97.9684455,KINGFISHER,GRAY J HAJEK 1,1,RODMAN PETROLEUM CORPORATION,OIL-P & A,P & A,OIL
3507320032,36.0345249,-97.7499861,KINGFISHER,O HERN 1-17,1-17,GRACE PETROLEUM CORP,OIL-P & A,P & A,OIL
3507320025,35.9871965,-97.8161724,KINGFISHER,L.N.U.(JOHNSON 1) 64-1,64-1,MACH NATURAL RESOURCES LP,OIL-INACTIVE COMPLETED,INACTIVE COMPLETED,OIL
3507310378,36.0384984,-97.9866565,KINGFISHER,DAVIDSON STATE 1,1,D & J OIL CO,DRY HOLE-P & A,P & A,DRY HOLE
3507300519,36.0641371,-97.892782,KINGFISHER,DOVER UNIT (MUIR 2) 2,2,EXXON,OTHER-P & A,P & A,OTHER
3507300518,36.0526592,-97.8163714,KINGFISHER,NOEL 1,1,CONOCOPHILLIPS,OIL-P & A,P & A,OIL
3507300516,36.0307824,-97.8075133,KINGFISHER,MITCHELL 1,1,TEOCALLI EXPLORATION LLC,OIL-PRODUCING,PRODUCING,OIL
3507323306,35.7372628,-97.9739171,KINGFISHER,JOHN N EISCHEN 1,1,BP,OIL-P & A,P & A,OIL
3507323249,36.0122893,-97.7807027,KINGFISHER,INGLE 2,2,PACIFIC ENTERPRISE OIL CO USA,OIL-P & A,P & A,OIL
3507323241,35.9547868,-97.9516201,KINGFISHER,HARRISON 1-16,1-16,AVALANCHE OIL & GAS LLC,OIL-INACTIVE PRODUCER,INACTIVE PRODUCER,OIL
3507323228,36.1005846,-98.2050571,KINGFISHER,COOK 1-30,1-30,TEXOMA RESOURCES INC,OIL-P & A,P & A,OIL
3507323224,35.7527823,-97.7571001,KINGFISHER,BRUGGEN 2,2,PETEX,OIL-P & A,P & A,OIL
3507323188,35.9184564,-97.9859144,KINGFISHER,JAMES 1,1,OKLAHOMA OIL TACTICS INC,OIL-P & A,P & A,OIL
3507323175,35.8764059,-97.7437427,KINGFISHER,JINDRA 1-9,1-9,ANCOR PETROLEUM INC,OIL-P & A,P & A,OIL
3507300373,36.0743302,-97.7894849,KINGFISHER,ANDERSON (FORMERLY #1) 2,2,MESA OPERATING,OIL-P & A,P & A,OIL
3507300371,36.1073113,-97.8383605,KINGFISHER,EAST HENNESSEY UNIT (A SHIMANEK 1) 137,137,MACH NATURAL RESOURCES LP,EOR-INJECTING,INJECTING,EOR
3507300366,35.9236424,-97.6979965,KINGFISHER,LSEPMU (THARP 1) 9-1,9-1,MACH NATURAL RESOURCES LP,OIL-INACTIVE PRODUCER,INACTIVE PRODUCER,OIL
3507300348,35.9089327,-97.78682,KINGFISHER,STATE LAND 1-Y,1-Y,SPESS OIL COMPANY INC,OIL-INACTIVE COMPLETED,INACTIVE COMPLETED,OIL
3507300262,36.0600866,-97.7454543,KINGFISHER,H VIOLET STURGEON 1,1,CHAMPLIN OIL & REFINING,OIL-P & A,P & A,OIL
3507300243,36.0492602,-97.8388025,KINGFISHER,HAYMAKER 1,1,TERRA PRODUCTION COMPANY,OIL-P & A,P & A,OIL
3507300241,35.8109892,-97.76145,KINGFISHER,CLIFT 1,1,SOUTHERN UNION PRODUCTION,OIL-P & A,P & A,OIL
3507320412,36.0242814,-97.9506599,KINGFISHER,CROKA 21-1,21-1,GREEN OPERATING,OIL-P & A,P & A,OIL
3507320395,35.8618718,-97.809975,KINGFISHER,REHERMAN 1,1,KIRKPATRICK RONALD B,OIL-P & A,P & A,OIL
3507320348,35.9220872,-98.1102176,KINGFISHER,MAJOR 1,1,W C PAYNE,DRY HOLE-P & A,P & A,DRY HOLE
3507320345,36.0241441,-97.9599757,KINGFISHER,ROTHMIRE (ROY ROTHMIRE 1) 21-1,21-1,KING STEVENSON OIL,OIL-P & A,P & A,OIL
