api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507300072,35.950882,-97.78463,KINGFISHER,LSEO UT. (LOUIS HOUSE 1),#22-1,BCE-MACH III LLC,OIL,AC,OIL
3507300073,35.9254833,-97.7712626,KINGFISHER,I K BOLLENBACH,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,INJ
3507300074,35.976178,-98.07876,KINGFISHER,GLAZIER,#1,SPESS OIL COMPANY INC,OIL,AC,OIL
3507300075,35.9364258,-97.896043,KINGFISHER,SEEFELDT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300076,35.9595356,-97.9322541,KINGFISHER,JOE BLAIR (GAZIN-ROBINSON),#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300077,35.9255469,-97.9094102,KINGFISHER,E L PERDUE,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300078,36.067528,-97.990815,KINGFISHER,THROCKMORTON,#1,ANADARKO MINERALS INC,GAS,AC,GAS
3507300079,36.041469,-97.74008,KINGFISHER,OHERN,#1,CHESAPEAKE OPERATING LLC,PLUGGED,PA,NT
3507300080,35.7305006,-98.0713879,KINGFISHER,MUEGGENBORG UNIT B,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300081,35.8074941,-98.1081187,KINGFISHER,WROBBEL GEIS,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300082,35.7786747,-97.9166935,KINGFISHER,FRANCIS,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300083,35.7350331,-98.0724996,KINGFISHER,SCHAEFER,#1,CABEEN EXPLORATION CORP,PLUGGED,PA,DRY
3507300084,36.001938,-97.776041,KINGFISHER,L.N.U.(BROWN 1),#18-1,BCE-MACH III LLC,OIL,AC,OIL
3507300086,35.9944394,-97.9049705,KINGFISHER,CORR,#1,JONES & PELLOW OIL CO,PLUGGED,PA,DRY
3507300088,35.8584262,-97.823219,KINGFISHER,EMMERICH,#1,APACHE CORPORATION,PLUGGED,PA,DRY
3507300089,35.8354038,-98.197154,KINGFISHER,OPPEL,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300090,36.1466798,-97.7980485,KINGFISHER,COOPER,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
